request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 24,768,300.00 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available over the next 90 days."
request_28,291.35,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,100.00 minimum."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524.00 today. This leaves at least ZAR 28,300.00 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments, starting 06 April 2026. This leaves at least USD 900.00 available."
request_31,2732930.06,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000.00 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900.00 minimum."
request_32,13372.45,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018.00 request. Although ZAR 13,372.45 is available today, the full amount cannot be completed safely within 90 days."
request_33,31397.36,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000.00 in full on 15 March 2026. Paying earlier would take the balance below the INR 102,100.00 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500.00 available over the next 90 days."
request_35,22877.65,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000.00 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400.00 minimum."
request_36,581.33,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,954.00 request. Although USD 581.33 is available today, the full amount cannot be completed safely within 90 days."
